Country/Regional Local Authority,ONS area code,Notes,Period,Observation
East Riding of Yorkshire UA,E06000011,,2021,35.5
"Kingston upon Hull, City of UA",E06000010,,2021,16.0
North East Lincolnshire UA,E06000012,,2021,23.4
North Lincolnshire UA,E06000013,,2021,32.8
York UA,E06000014,,2021,24.6
North Yorkshire,E10000023,,2021,32.4
South Yorkshire (Met County),E11000003,,2021,25.0
Barnsley,E08000016,,2021,26.4
Doncaster,E08000017,,2021,27.5
Rotherham,E08000018,,2021,27.0
Sheffield,E08000019,,2021,21.8
West Yorkshire (Met County),E11000006,,2021,22.2
Bradford,E08000032,,2021,19.9
Calderdale,E08000033,,2021,21.9
Kirklees,E08000034,,2021,20.8
Leeds,E08000035,,2021,23.5
Wakefield,E08000036,,2021,24.3
East Midlands (Region),E12000004,,2021,28.2
Derby UA,E06000015,,2021,20.7
Leicester UA,E06000016,,2021,17.5
Nottingham UA,E06000018,,2021,14.2
Rutland UA,E06000017,,2021,39.0
Derbyshire,E10000007,,2021,29.0
Leicestershire,E10000018,,2021,30.5
Lincolnshire,E10000019,,2021,34.7
North Northamptonshire  ,E06000061,data-not-available,2021,
Northamptonshire  ,E10000021,data-not-available,2021,29.9
Nottinghamshire,E10000024,,2021,28.5
West Northamptonshire ,E06000062,data-not-available,2021,
West Midlands (Region),E12000005,,2021,25.7
"Herefordshire, County of UA",E06000019,,2021,32.4
Shropshire UA,E06000051,,2021,33.2
Stoke-on-Trent UA,E06000021,,2021,19.5
Telford and Wrekin UA,E06000020,,2021,35.8
Staffordshire,E10000028,,2021,28.7
Warwickshire,E10000031,,2021,29.8
Worcestershire,E10000034,,2021,31.3
West Midlands (Met County),E11000005,,2021,19.9
Birmingham,E08000025,,2021,18.1
Coventry,E08000026,,2021,24.0
Dudley,E08000027,,2021,19.5
Sandwell,E08000028,,2021,19.3
Solihull,E08000029,,2021,31.0
Walsall,E08000030,,2021,20.6
Wolverhampton,E08000031,,2021,17.6
Greater London (Region),E12000007,,2021,14.7
Inner London,E13000001,,2021,10.8
Camden,E09000007,,2021,8.3
City of London,E09000001,,2021,8.5
Hackney,E09000012,,2021,11.0
Hammersmith and Fulham,E09000013,,2021,12.7
Haringey,E09000014,,2021,10.6
Islington,E09000019,,2021,8.9
Kensington and Chelsea,E09000020,,2021,9.9
Lambeth,E09000022,,2021,9.1
Lewisham,E09000023,,2021,9.9
Newham,E09000025,,2021,17.0
Southwark,E09000028,,2021,8.9
Tower Hamlets,E09000030,,2021,14.6
Wandsworth,E09000032,,2021,10.2
Westminster,E09000033,,2021,9.0
Outer London,E13000002,,2021,17.5
Barking and Dagenham,E09000002,,2021,18.0
Barnet,E09000003,,2021,17.5
Bexley,E09000004,,2021,20.5
Brent,E09000005,,2021,15.9
Bromley,E09000006,,2021,15.8
Croydon,E09000008,,2021,13.5
Ealing,E09000009,,2021,17.9
Enfield,E09000010,,2021,15.4
Greenwich,E09000011,,2021,15.7
Harrow,E09000015,,2021,16.4
Havering,E09000016,,2021,24.9
Hillingdon,E09000017,,2021,26.1
Hounslow,E09000018,,2021,16.9
Kingston upon Thames,E09000021,,2021,21.1
Merton,E09000024,,2021,12.0
Redbridge,E09000026,,2021,21.2
Richmond upon Thames,E09000027,,2021,14.5
Sutton,E09000029,,2021,13.5
Waltham Forest,E09000031,,2021,16.5
East of England (Region),E12000006,,2021,30.0
Bedford UA,E06000055,,2021,24.6
Central Bedfordshire UA,E06000056,,2021,32.4
Luton UA,E06000032,,2021,20.1
Peterborough UA,E06000031,,2021,35.8
Southend-on-Sea UA,E06000033,,2021,19.3
Thurrock UA,E06000034,,2021,30.1
Cambridgeshire,E10000003,,2021,32.8
Essex,E10000012,,2021,30.1
Hertfordshire,E10000015,,2021,29.4
Norfolk,E10000020,,2021,31.6
Suffolk,E10000029,,2021,30.1
South West (Region),E12000009,,2021,27.7
Bath and North East Somerset UA,E06000022,,2021,24.0
"Bournemouth, Christchurch and Poole UA",E06000058,,2021,21.7
"Bristol, City of UA",E06000023,,2021,16.4
Cornwall UA,E06000052,,2021,28.8
Isles of Scilly UA,E06000053,data-not-available,2021,
North Somerset UA,E06000024,,2021,30.3
Plymouth UA,E06000026,,2021,16.6
South Gloucestershire UA,E06000025,,2021,25.8
Swindon UA,E06000030,,2021,23.5
Torbay UA,E06000027,,2021,22.1
Wiltshire UA,E06000054,,2021,30.9
Devon,E10000008,,2021,32.2
Dorset,E06000059,,2021,34.1
